standard_property_name,possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
data_provided_by_supplier_if_not_by_purchaser,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_to_be_completed_by_purchaser,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_to_be_completed_by_purchaser,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_to_be_completed_by_purchaser_or_seal_vendor,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_to_be_completed_by_seal_vendor,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_to_be_completed_purchaser_or_seal_vendor,DESCRIPTION,,meta_data,primary_equipments,asset,pump
data_to_be_completed_seal_vendor,DESCRIPTION,,meta_data,primary_equipments,asset,pump
date,DESCRIPTION,,meta_data,primary_equipments,asset,pump
end_user,DESCRIPTION,,meta_data,primary_equipments,asset,pump
facility_location,DESCRIPTION,,meta_data,primary_equipments,asset,pump
facility_name,DESCRIPTION,,meta_data,primary_equipments,asset,pump
for,DESCRIPTION,,meta_data,primary_equipments,asset,pump
frequency,DESCRIPTION,,meta_data,primary_equipments,asset,pump
group,DESCRIPTION,,meta_data,primary_equipments,asset,pump
inquiry_number,DESCRIPTION,,meta_data,primary_equipments,asset,pump
inquiry_number,DESCRIPTION,,meta_data,primary_equipments,asset,pump
